Direction,Stop Name,Stop Name Marathi,,,,,
DOWN,Panmala,पानमळा,,,,,
DOWN,Parvati Paytha,पर्वती पायथा,,,,,
DOWN,Shree Control,श्री कंट्रोल,,,,,
DOWN,Benkarvasti,बेनकरवस्ती,,,,,
DOWN,Saipuram Corner,साईपुरम कॉर्नर,,,,,
DOWN,Natraj Stand,नटराज स्टॅन्ड ,,,,,
DOWN,Raikarmala,रायकरमळा ,,,,,
DOWN,Dhayari Maruti Mandir,धायरी मारूती मंदिर,,,,,
DOWN,Dhayareshwar Mandir,धायरेश्वर मंदीर,,,,,
DOWN,Saritanagari,सरितानगरी,,,,,
DOWN,Rakshalekha Society,रक्षलेखा सोसायटी,,,,,
DOWN,Mhatre Pul,म्हात्रे पुल,,,,,
DOWN,Rajendranagar,राजेंद्रनगर,,,,,
DOWN,Chitrashala,चित्रशाळा,,,,,
DOWN,Sadashiv Peth Haud,सदाशिव पेठ हौद,,,,,
DOWN,Vishrambaugwada,विश्रामबागवाडा,,,,,
DOWN,Dakshinmukhi Maruti,दक्षिणमुखी मारुती,,,,,
DOWN,Shaniwarwada,शनिवारवाडा,,,,,
DOWN,Shaniwarwada Stand,शनिवारवाडा स्‍टॅण्ड,,,,,
DOWN,Bhaji Market,भाजी मार्केट,,,,,
DOWN,Shivaji Putla Marketyard,शिवाजीपुतळा मार्केटयार्ड,,,,,
DOWN,Godown Gultekdi,गोडाऊन गुलटेकडी ,,,,,
DOWN,Marketyard,मार्केटयार्ड,,,,,
DOWN,Venutai Chavan College,वेणुताई चव्हाण कॉलेज,,,,,
DOWN,Venutai Chavan College Payatha,वेणुताई चव्हाण कॉलेज पायथा,,,,,
DOWN,Brahma Chaitanya,ब्रम्हचैतन्य,,,,,
DOWN,Jadhavnagar,जाधवनगर,,,,,
DOWN,Vadgaon Bk,वडगाव बु.,,,,,
DOWN,Suncity,सनसिटी,,,,,
DOWN,Krushna Mandir Suncity,कृष्ण मंदीर सनसिटी,,,,,
DOWN,Star Garden,स्टार गार्डन,,,,,
DOWN,Shivpushpak Park,शिवपुष्पक पार्क,,,,,
DOWN,Nanded City,नांदेड सिटि,,,,,
DOWN,Panyachi Taki Nanded,पाण्याची टाकी नांदेड,,,,,
DOWN,Sawli Dhaba,सावली ढाबा,,,,,
DOWN,Nanded Phata,नांदेड फाटा,,,,,
DOWN,Mate Pat,मते पट,,,,,
DOWN,Lagadmala,लगडमळा,,,,,
DOWN,Alandi,आळंदी,,,,,
DOWN,ST Stand Alandi,एस टी स्टॅन्ड आळंदी,,,,,
DOWN,Dehu Phata,देहू फाटा,,,,,
DOWN,Kalewadi Pump,काळेवाडी पंप,,,,,
DOWN,Katevasti,काटेवस्ती,,,,,
DOWN,Charholi Phata,चऱ्होली फाटा,,,,,
DOWN,Chovisawadi,चोवीसावाडी,,,,,
DOWN,Vadmukhwadi,वडमुखवाडी,,,,,
DOWN,Gokhalemala,गोखलेमळा,,,,,
DOWN,Nirma Company,निरमा कंपनी,,,,,
DOWN,Sai Mandir,साई मंदिर,,,,,
DOWN,Moze Vidyalay Alandi Road,मोझे विद्यालय आळंदी रोड ,,,,,
DOWN,Magzine,मॅगझीन,,,,,
DOWN,Telco Godown,टेल्को गोडाउन,,,,,
DOWN,Dattanagar Alandi Road,दत्तनगर आळंदी रोड ,,,,,
DOWN,Parandenagar,परांडेनगर,,,,,
DOWN,Dighi,दिघी,,,,,
DOWN,AIT College,एआयटी कॉलेज,,,,,
DOWN,Wireless Colony,वायरलेस कॉलनी,,,,,
DOWN,Ganeshnagar Alandi Road,गणेशनगर आळंदी रोड ,,,,,
DOWN,Parade Ground Alandi Road,पारडे ग्राउंड आळंदी रोड,,,,,
DOWN,Pathan Baba Darga,पठाण बाबा दर्गा,,,,,
DOWN,Kalas,कळस,,,,,
DOWN,RD Colony,आर. डी. कॉलनी,,,,,
DOWN,Vishrantwadi,विश्रांतवाडी,,,,,
DOWN,Mhaskevasti,म्हस्केवस्ती,,,,,
DOWN,Sathe Biscuit,साठे बिस्किट,,,,,
DOWN,Mental Corner,मेंटल कॉर्नर,,,,,
DOWN,Shantinagar,शांतीनगर,,,,,
DOWN,Police Line Phulenagar,पोलीस लाईन फुलेनगर,,,,,
DOWN,Mhasoba Mandir,म्हसोबा मंदीर,,,,,
DOWN,Mula House,मुळा हाऊस,,,,,
DOWN,Ordinance Club,ऑर्डीनन्स क्लब,,,,,
DOWN,Arsenal Factory Gate,अर्सनल फॅक्टरी गेट,,,,,
DOWN,Ammunition Factory Road,अम्युनिशन फॅक्टरी रोड,,,,,
DOWN,Ammunition Factory,अ‍ॅम्युनिशन फॅक्टरी,,,,,
DOWN,Ammunition Stores,अ‍ॅम्युनिशन स्टोअर्स,,,,,
DOWN,Methodist Church,मॅथेडीस्ट चर्च,,,,,
DOWN,Surgeon Quarters,सर्जन क्वॉर्टस,,,,,
DOWN,Mula Road,मुळा रोड,,,,,
DOWN,Poultry Farm Mumbai Road,पोल्ट्री फार्म मुंबई रोड,,,,,
DOWN,Mariaai Gate,मरीआई गेट,,,,,
DOWN,Wakdewadi,वाकडेवाडी,,,,,
DOWN,Labour Office,लेबर ऑफिस,,,,,
DOWN,Patil Estate,पाटील इस्टेट,,,,,
DOWN,Sawarkar Bhavan,सावरकर भवन,,,,,
DOWN,Bopodi,बोपोडी,,,,,
DOWN,Gadikhana,गाडीखाना,,,,,
DOWN,Shahu Chowk,शाहू चौक,,,,,
DOWN,Shivaji Maratha Highschool,शिवाजी मराठा हायस्कूल,,,,,
DOWN,Gokul Bhavan,गोकुळ भवन,,,,,
DOWN,Kalpataru Society Pimplegurav,कल्पतरू सोसायटी पिंपळेगुरुव ,,,,,
