Non-BRTS,101-D,101-D-33,33,Paud Phata,पौड फाटा,18.505422,73.824295,9,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-34,34,More Vidyalay,मोरे विद्यालय,18.510395,73.820072,9,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-35,35,Ideal Colony,आयडियल कॉलनी,18.510170,73.817161,9,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-36,36,Anandnagar Kothrud,आनंदनगर कोथरुड ,18.509647,73.814515,9,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-37,37,Jai Bhavaninagar,जय भवानीनगर,18.509218,73.811546,10,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-38,38,Pratiknagar,प्रतीकनगर,18.508295,73.810438,10,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-39,39,Vanaj Corner,वनाज कॉर्नर,18.507359,73.807311,10,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-40,40,Vanaj Company,वनाज कंपनी,18.506992,73.804100,10,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-41,41,Kachara Depot Kothrud,कचरा डेपो कोथरुड ,18.507439,73.799912,10,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-42,42,Bharatinagar,भारतीनगर,18.507788,73.796761,10,,,,,,,,,,,,,,,,
Non-BRTS,101-D,101-D-43,43,Kothrud Depot,कोथरुड डेपो,18.507906,73.794907,11,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-00,0,Kothrud Depot,कोथरुड डेपो,18.507906,73.794907,1,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-01,1,Bharatinagar,भारतीनगर,18.507884,73.796801,1,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-02,2,Kachara Depot Kothrud,कचरा डेपो कोथरुड ,18.507548,73.799954,1,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-03,3,Vanaj Company,वनाज कंपनी,18.507148,73.804146,1,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-04,4,Vanaj Corner,वनाज कॉर्नर,18.507473,73.807289,1,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-05,5,Pratiknagar,प्रतीकनगर,18.508367,73.809884,1,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-06,6,Jai Bhavaninagar,जय भवानीनगर,18.509302,73.811512,2,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-07,7,Anandnagar Kothrud,आनंदनगर कोथरुड ,18.509693,73.814499,2,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-08,8,Ideal Colony,आयडियल कॉलनी,18.510847,73.817492,2,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-09,9,More Vidyalay,मोरे विद्यालय,18.510205,73.820845,2,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-10,10,Paud Phata,पौड फाटा,18.506051,73.826171,2,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-11,11,SNDT College,एसएनडीटी कॉलेज,18.507301,73.828511,3,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-12,12,Nal Stop,नळ स्टॉप,18.509020,73.831963,3,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-13,13,Sonal Hall,सोनल हॉल,18.510452,73.834959,3,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-14,14,Garware College,गरवारे कॉलेज,18.512424,73.838716,3,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-15,15,Deccan Corner,डेक्कन कॉर्नर,18.513532,73.841372,3,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-16,16,Sahitya Parishad,साहित्य परिषद,18.510916,73.845720,4,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-17,17,Maharashtra Mandal,महाराष्ट्र मंडळ,18.509646,73.847397,4,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-18,18,SP College,एसपी कॉलेज,18.507086,73.851410,4,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-19,19,Madiwale Colony,माडीवाले कॉलनी,18.506132,73.852753,4,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-20,20,Hirabaug,हिराबाग,18.504350,73.854800,4,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-21,21,Swargate Corner,स्वारगेट कॉर्नर,18.501730,73.857800,4,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-22,22,Swargate Depo,स्वारगेट डेपो,18.500535,73.859687,5,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-23,23,Ghorpade Peth,घोरपडे पेठ,18.499980,73.863851,5,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-24,24,ST Vibhagiya Karyalay,एसटी विभागीय कार्यालय,18.500575,73.866515,5,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-25,25,Meera Society,मिरा सोसायटी,18.501995,73.872246,5,,,,,,,,,,,,,,,,
Non-BRTS,101-U,101-U-26,26,Golibar Maidan,गोळीबार मैदान,18.502283,73.876167,6,,,,,,,,,,,,,,,,
