Non-BRTS,320-U,320-U-04,4,Katevasti,काटेवस्ती,18.666650,73.889300,2,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-05,5,Charholi Phata,चऱ्होली फाटा,18.662834,73.886803,3,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-06,6,Chovisawadi,चोवीसावाडी,18.659481,73.886269,3,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-07,7,Vadmukhwadi,वडमुखवाडी,18.653990,73.884120,3,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-08,8,Gokhalemala,गोखलेमळा,18.650820,73.882250,3,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-09,9,Nirma Company,निरमा कंपनी,18.646120,73.880530,3,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-10,10,Sai Mandir,साई मंदिर,18.641539,73.877419,4,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-11,11,Moze Vidyalay Alandi Road,मोझे विद्यालय आळंदी रोड ,18.638870,73.875400,4,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-12,12,Magzine,मॅगझीन,18.632462,73.873508,4,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-13,13,Gajanan Maharaj Mandir Alandi Road,गजानन महाराज मंदिर आळंदी रोड,18.631935,73.872740,4,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-14,14,Banacha Odha,बनाचा ओढा,18.627004,73.864617,5,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-15,15,Durvankur Mangal Karyalay,दुर्वांकर मंगल कार्यालय,18.625978,73.862392,5,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-16,16,Shastri Chowk,शास्त्री चौक,18.625122,73.861068,5,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-17,17,Maharashtra Chowk,महाराष्ट्र चौक,18.624222,73.856347,5, ,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-18,18,Bhosari PMT Chowk,भोसरी पीएमटी चौक,18.620468,73.850522,6,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-19,19,Atlas Company,अ‍ॅटलास कंपनी,18.618861,73.850066,6,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-20,20,Century Enka Colony,सेचुरी एन्का कॉलनी,18.615839,73.847703,6,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-21,21,Optonica Company,ऑप्टोनिका कंपनी,18.615725,73.845873,6,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-22,22,Landewadi,लांडेवाडी,18.619723,73.841691,7,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-23,23,Philips,फिलीप्स,18.620544,73.836845,7,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-24,24,MIDC Bhosari,एमआयडीसी भोसरी,18.620979,73.830286,8,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-25,25,Bhosari Police Station,भोसरी पोलीस स्टेशन,18.617443,73.825925,8,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-26,26,CIRT,सीआयआरटी,18.610670,73.823550,8,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-27,27,Nashik Phata,नाशिक फाटा,18.607256,73.822174,8,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-28,28,Vallabhnagar,वल्लभनगर,18.613380,73.816440,8,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-29,29,Indian Card,इंडियन कार्ड ,18.615230,73.814840,9,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-30,30,HA,एच.ए.,18.621042,73.809860,9,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-31,31,Kharalwadi,खराळवाडी,18.623686,73.807659,9,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-32,32,Pimpri,पिंपरी,18.626778,73.805095,9,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-33,33,Finolex,फिनोलेक्स ,18.630072,73.802162,10,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-34,34,Empire Estate,एम्पायर इस्टेट,18.635280,73.797820,10,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-35,35,Chinchwad Station,चिंचवड स्टेशन,18.638292,73.794537,10,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-36,36,Lokmanya Hospital,लोकमान्य हॉस्पिटल,18.636710,73.789640,11,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-37,37,More Prekshagruha,मोरे प्रेक्षागृह,18.634138,73.787491,11,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-38,38,Elpro Company,एलप्रो कंपनी,18.633090,73.785680,11,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-39,39,Darshan Hall,दर्शन हॉल,18.632270,73.784770,11,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-40,40,Kalimata Mandir,कालीमाता मंदिर,18.630880,73.783270,11,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-41,41,Chinchwadgaon,चिंचवडगांव,18.627690,73.783000,12,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-42,42,Chaphekar Chowk,चाफेकर चौक,18.629811,73.781587,12,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-43,43,Walhekarwadi Corner,वाल्हेकरवाडी कॉर्नर,18.630363,73.779263,12,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-44,44,Birla Hospital,बिर्ला हॉस्पीटल,18.626446,73.775649,12,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-45,45,Dattanagar Chinchwad Road,दत्तनगर चिंचवड रोड ,18.623043,73.774063,13,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-46,46,Pudumjee Paper Mill,पदुमजी पेपर मिल,18.620638,73.771009,13,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-47,47,Thergaon Phata,थेरगांव फाटा,18.617155,73.767385,13,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-48,48,Dange Chowk,डांगे चौक,18.615386,73.765410,14,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-49,49,Vitbhatti Wakad,विटभट्टी वाकड,18.612850,73.765910,14,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-50,50,Ma Na Pa Shala Wakad,मनपा शाळा वाकड,18.594519,73.773660,14,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-51,51,Wakad Chowk,वाकड,18.592292,73.761924,14,,,,,,,,,,,,,,,,
Non-BRTS,320-U,320-U-52,52,Wakad Bridge,वाकड ब्रीज,18.591680,73.757520,15,,,,,,,,,,,,,,,,
